hired,gender,race,age,resume_text
1,male,white,30,"Experienced software engineer with 5 years of Python experience."
0,female,black,25,"Recent graduate with a degree in computer science and a passion for AI."
1,female,asian,40,"Senior project manager with a track record of delivering complex projects."
0,male,hispanic,22,"Junior developer looking for an opportunity to grow and learn new skills."
1,male,white,35,"Full stack developer with expertise in React and Node.js."
0,female,white,28,"Graphic designer with 3 years of experience in branding and UI design."
1,female,black,32,"Data scientist with a focus on machine learning and predictive modeling."
0,male,asian,45,"Experienced accountant with a background in financial planning."
1,male,black,29,"Marketing specialist with experience in digital advertising and social media."
0,female,hispanic,31,"Sales representative with a strong background in customer relationship management."
